# ==============================================================================
# Event Participant Project Mapping
# Format: PROJECT_ID, IAP_MEMBER, REGION, CITY
#
# Examples:
#   my-hackathon-project-01, user:participant01@gcplab.me, europe-west3, Tokyo
#   my-hackathon-project-02, user:participant02@gcplab.me, europe-west3, Paris
# ==============================================================================

dataforge26krk-6701, user:devstar6701@gcplab.me, europe-west3, Tokyo
dataforge26krk-6702, user:devstar6702@gcplab.me, europe-west3, London
dataforge26krk-6703, user:devstar6703@gcplab.me, europe-west3, Paris
dataforge26krk-6704, user:devstar6704@gcplab.me, europe-west3, New York
dataforge26krk-6705, user:devstar6705@gcplab.me, europe-west3, Sydney
dataforge26krk-6706, user:devstar6706@gcplab.me, europe-west3, Berlin
dataforge26krk-6707, user:devstar6707@gcplab.me, europe-west3, Rome
dataforge26krk-6708, user:devstar6708@gcplab.me, europe-west3, Madrid
dataforge26krk-6709, user:devstar6709@gcplab.me, europe-west3, Toronto
dataforge26krk-6710, user:devstar6710@gcplab.me, europe-west3, Singapore
dataforge26krk-6711, user:devstar6711@gcplab.me, europe-west3, Seoul
dataforge26krk-6712, user:devstar6712@gcplab.me, europe-west3, Amsterdam
dataforge26krk-6713, user:devstar6713@gcplab.me, europe-west3, San Francisco
dataforge26krk-6714, user:devstar6714@gcplab.me, europe-west3, Dubai
dataforge26krk-6715, user:devstar6715@gcplab.me, europe-west3, Vienna
dataforge26krk-6716, user:devstar6716@gcplab.me, europe-west3, Zurich
dataforge26krk-6717, user:devstar6717@gcplab.me, europe-west3, Stockholm
dataforge26krk-6718, user:devstar6718@gcplab.me, europe-west3, Chicago
dataforge26krk-6719, user:devstar6719@gcplab.me, europe-west3, Los Angeles
dataforge26krk-6720, user:devstar6720@gcplab.me, europe-west3, Warsaw
dataforge26krk-6721, user:devstar6721@gcplab.me, europe-west3, Prague
dataforge26krk-6722, user:devstar6722@gcplab.me, europe-west3, Dublin
dataforge26krk-6723, user:devstar6723@gcplab.me, europe-west3, Oslo
dataforge26krk-6724, user:devstar6724@gcplab.me, europe-west3, Copenhagen
dataforge26krk-6725, user:devstar6725@gcplab.me, europe-west3, Helsinki
